obs;time;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2;Attention;Meditation;Derived;totPwr;class;;;
1;01.05;14449;42868;9073;6602;6665;4410;5235;4420;44;63;NA;93722;X*;Alpha;Beta;Gamma
2;03.04;52007;15243;5828;4121;1113;1308;1211;368;29;69;NA;81199;X*;17635,27049;10623,09016;5147,852459
3;04.04;349010;173467;35319;32828;27703;6786;2930;1072;17;56;NA;629115;X*;;;
4;05.05;183400;229447;50753;17156;15292;7424;5902;2391;7;54;NA;511765;X*;;;
5;07.04;13396;19427;7332;2943;7533;8246;4591;2053;23;47;NA;65521;X*;;;
6;08.04;42834;42744;16290;9029;3191;2773;1597;360;24;66;NA;118818;X*;;;
7;09.04;49954;2807;1659;2044;976;431;90;255;35;81;NA;58216;X*;;;
8;11.04;366418;126117;9120;13279;7453;13773;3944;1566;23;70;NA;541670;X*;;;
9;12.04;186275;81610;53000;15526;7209;7156;7585;1746;8;61;NA;360107;X*;;;
10;13.04;47710;26512;4490;3092;13430;6378;2362;981;17;38;NA;104955;X*;;;
11;15.04;22203;14697;5048;4548;3257;4859;3270;1370;26;53;NA;59252;X*;;;
12;16.04;792590;92449;4881;11292;11619;9665;8247;3761;37;29;NA;934504;X*;;;
13;17.04;246064;68047;17934;2075;2211;3783;965;1284;23;37;NA;342363;X*;;;
14;18.04;425947;23961;14395;3720;5450;2213;1250;554;10;40;NA;477490;X*;;;
15;19.04;50540;50169;20819;5570;6843;4191;3810;2629;13;44;NA;144571;X*;;;
16;24.04.00;402294;132096;14106;15651;35500;20295;4745;919;16;47;NA;625606;X*;;;
17;26.03.00;352994;76716;16514;4662;3493;2427;888;156;11;47;NA;457850;X*;;;
18;27.04.00;1964357;97733;25152;33903;14358;76711;20636;3472;27;30;NA;2236322;X*;;;
19;28.04.00;695538;79440;10195;13912;29740;20721;28293;9354;34;34;NA;887193;X*;;;
20;30.03.00;179582;14831;10076;4200;3412;3146;4257;3379;47;47;NA;222883;X*;;;
21;31.04.00;363197;73071;20338;31333;17792;14735;8459;5210;37;41;NA;534135;X*;;;
22;32.03.00;215670;53896;21384;8986;3213;10495;5221;4317;30;54;NA;323182;X*;;;
23;34.03.00;470939;53992;2738;41915;18904;7212;4492;1713;27;51;NA;601905;X*;;;
24;37.03.00;246461;44880;2876;5737;3693;2149;1619;785;21;37;NA;308200;X*;;;
25;38.03.00;392919;25398;7901;6159;2722;1216;2463;644;8;38;NA;439422;X*;;;
26;39.03.00;121092;231982;68254;42031;34029;30070;13889;14293;10;30;NA;555640;X*;;;
27;40.03.00;77168;2881;67;799;209;366;394;89;13;41;NA;81973;X*;;;
28;41.03.00;98230;62615;15232;6616;12764;9370;4568;1504;23;47;NA;210899;X*;;;
29;42.03.00;100758;26421;7494;6893;13828;8413;5697;3350;41;43;NA;172854;X*;;;
30;43.03.00;366168;85789;2110;12938;6191;3058;3540;977;30;30;NA;480771;X*;;;
31;46.03.00;945599;45202;2050;8877;9368;10538;7163;2691;38;24;NA;1031488;X*;;;
32;49.03.00;1060089;395370;24596;36257;15323;16760;19253;9544;23;38;NA;1577192;X*;;;
33;50.03.00;111735;15888;3340;4576;2576;1511;899;721;11;40;NA;141246;X*;;;
34;51.03.00;59155;29761;5662;9472;4725;1675;871;948;1;23;NA;112269;X*;;;
35;53.03.00;429087;101106;19150;23871;3353;8948;4245;6354;4;37;NA;596114;X*;;;
36;54.03.00;1124310;95976;34661;135173;35031;5954;13279;4503;11;77;NA;1448887;X*;;;
37;55.03.00;174127;14654;835;5476;1877;1349;2854;832;16;74;NA;202004;X*;;;
38;56.02.00;1588370;83964;49885;42469;36886;8279;6269;5006;14;83;NA;1821128;X*;;;
39;62.02.00;750294;49574;41204;13011;26085;12156;16938;6565;10;88;NA;915827;X;;;
40;64.02.00;57958;3808;1686;9810;2161;2929;3303;2186;30;90;NA;83841;X;;;
41;66.02.00;234216;8277;6182;2774;1132;997;963;477;41;83;NA;255018;X;;;
42;68.02.00;418747;362644;30210;73774;56405;43856;19235;16096;38;66;NA;1020967;X;;;
43;69.02.00;232976;80802;28767;17774;12130;6003;1887;862;16;70;NA;381201;X;;;
44;70.02.00;610938;122082;10602;20034;8754;16409;21242;7433;23;51;NA;817494;X;;;
45;71.02.00;237272;11075;2018;2276;2259;2016;1547;1313;26;56;NA;259776;X;;;
46;72.02.00;47434;24581;36679;16617;9170;17226;21153;13011;38;63;NA;185871;X;;;
47;73.02.00;33403;180736;5982;11852;11113;11597;6817;3147;40;40;NA;264647;X;;;
48;74.02.00;114385;25635;24842;4804;7805;5933;7853;1149;40;57;NA;192406;X;;;
49;75.02.00;56517;20499;13222;18413;1788;3019;3891;1478;30;80;NA;118827;X;;;
50;76.02.00;57991;18845;7413;9121;2597;4850;2791;1579;26;74;NA;105187;X;;;
51;77.02.00;131560;422993;9439;16254;11521;10997;3076;7828;17;70;NA;613668;X;;;
52;80.02.00;1318091;127457;123330;30382;36084;30984;7704;6287;20;70;NA;1680319;X;;;
53;81.02.00;917658;44226;45125;43409;23084;8958;3581;712;20;40;NA;1086753;X;;;
54;83.01.00;1091235;17437;2618;6783;2287;6933;1656;1217;41;63;NA;1130166;X;;;
55;84.01.00;180153;10941;9872;3434;3487;5109;5683;2585;40;69;NA;221264;X;;;
56;85.01.00;1050923;153810;61575;13458;5701;18695;15853;10321;43;60;NA;1330336;X;;;
57;86.01.00;59604;45336;47679;4264;3039;7711;4956;6387;34;70;NA;178976;X;;;
58;87.01.00;25821;44642;14125;10359;9989;9952;15829;5112;41;80;NA;135829;X;;;
59;88.01.00;31560;101860;17450;2135;8946;14370;17076;3659;37;61;NA;197056;X;;;
60;89.01.00;99640;15218;1579;6196;1946;1308;1194;839;34;60;NA;127920;X;;;
61;94.01.00;404853;30059;6678;3282;4867;6532;2409;2107;38;43;NA;460787;X;;;
62;95.01.00;1413251;185214;87839;7409;13636;37568;12149;7044;37;61;NA;1764110;X;;;
63;96.01.00;376147;10445;278;1035;270;1422;688;279;43;44;NA;390564;X;;;
64;98.01.00;44117;7488;4693;1562;4189;953;1155;488;37;54;NA;64645;X;;;
65;99.01.00;702195;20648;1925;6817;6881;5007;1570;2000;47;53;NA;747043;X;;;
66;100.01.00;406884;21387;3045;6595;4369;1965;1816;3056;40;67;NA;449117;X;;;
67;101.01.00;102159;44783;9973;35044;11621;5984;9014;1148;40;70;NA;219726;X;;;
68;102.01.00;44449;8063;7681;10340;7386;3901;4673;1196;38;74;NA;87689;X;;;
69;103.01.00;330764;225921;26937;18925;16199;11127;6721;1485;23;67;NA;638079;X;;;
70;104.01.00;74053;5245;1938;1506;816;1054;518;207;29;74;NA;85337;X;;;
71;105.00.00;814961;94168;19411;12179;9324;6152;6044;2706;26;63;NA;964945;X;;;
72;106.00.00;389058;30703;24427;5780;15746;7464;3613;3901;23;56;NA;480692;X;;;
73;107.01.00;697865;66029;3284;46430;10637;3978;8047;4497;21;74;NA;840767;X;;;
74;107.01.00;112480;84642;8562;6098;11411;5704;9883;4226;14;56;NA;243006;X;;;
